#OTUID	RDP_taxonomy	RDP_confidence	Group	Location
11230	k__bacteria_2;p__firmicutes;c__negativicutes;o__selenomonadales;f__veillonellaceae;g__megasphaera;s__elsdenii	1	treatment	Site19
1297	k__bacteria_2;p__firmicutes;c__clostridia;o__clostridiales;	1	control	Site22
17804	k__bacteria_2;p__firmicutes;c__negativicutes;o__selenomonadales;f__veillonellaceae;g__dialister;	1	control	Site15
19844	k__bacteria_2;p__firmicutes;c__clostridia;o__clostridiales;f__peptostreptococcaceae;g__unclassified_peptostreptococcaceae;s__glycolicum	1	treatment	Site1
22820	k__bacteria_2;p__firmicutes;c__clostridia;o__clostridiales;f__lachnospiraceae;g__blautia;s__torques	0.94	treatment	Site4
25985	k__bacteria_2;p__bacteroidetes;c__bacteroidia;o__bacteroidales;	0.94	control	Site21
2806	k__bacteria_2;p__firmicutes;c__clostridia;o__clostridiales;	0.95	control	Site20
30514	k__bacteria_2;p__firmicutes;c__clostridia;o__clostridiales;f__eubacteriaceae;g__eubacterium;s__desmolans	0.91	treatment	Site28
30656	k__bacteria_2;p__firmicutes;c__bacilli;o__lactobacillales;f__lactobacillaceae;g__lactobacillus;s__amylovorus	0.91	treatment	Site7
50643	k__bacteria_2;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;	1	control	Site19
61094	k__bacteria_2;p__firmicutes;c__clostridia;o__clostridiales;f__clostridiaceae;g__clostridium;	0.81	control	Site25
6133	k__bacteria_2;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;	1	treatment	Site11
62937	k__bacteria_2;p__firmicutes;c__clostridia;o__clostridiales;f__clostridiaceae;g__clostridium;	0.9	treatment	Site7
6304	k__bacteria_2;p__firmicutes;c__clostridia;o__clostridiales;f__clostridiaceae;g__clostridium;	1	control	Site26
63148	k__bacteria_2;p__firmicutes;c__clostridia;o__clostridiales;	1	control	Site18
7476	k__bacteria_2;p__firmicutes;c__clostridia;o__clostridiales;f__clostridiaceae;g__clostridium;s__disporicum	0.84	treatment	Site8
